Sample,B.cell,Macrophage.M1,Macrophage.M2,Monocyte,Neutrophil,NK.cell,T.cell.CD4...non.regulatory.,T.cell.CD8.,T.cell.regulatory..Tregs.,Myeloid.dendritic.cell,uncharacterized.cell
RNAseq_29158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RNAseq_62948,0.048727306,0.0,0.018621337,0.077009623,0.83573021,0.0,0.0,0.0,0.0,0.019911524,0.0
RNAseq_78346,0.081182659,0.0,0.021541753,0.0,0.542956783,0.126936062,0.0,0.185635201,0.004033388,0.037714154,0.0
RNAseq_96788,0.0,0.0,0.009401192,0.0,0.917404541,0.037549288,0.0,0.035644979,0.0,0.0,3.33e-16
RNAseq_32654,0.001003663,0.0,0.003939981,0.0,0.932789876,0.037350988,0.0,0.024915491,0.0,0.0,3.33e-16
RNAseq_93053,0.036090087,0.0,0.010925936,0.0,0.689566175,0.087141164,0.0,0.123444195,0.036052111,0.016780331,0.0
RNAseq_14116,0.0,0.0,0.0,0.06664242,0.86417352,0.000975471,0.0,0.0,0.0,0.068208589,3.33e-16
RNAseq_09916,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.33e-16
RNAseq_45120,0.044777765,0.0,0.012596181,0.0,0.923152576,0.019473479,0.0,0.0,0.0,0.0,1.11e-16
RNAseq_25973,0.0,0.0,0.008028692,0.0,0.973045467,0.018925842,0.0,0.0,0.0,0.0,1.11e-16
RNAseq_03151,0.170926358,0.0,0.033025113,0.0,0.28114186,0.085814362,0.026704536,0.202374639,0.173303687,0.026709443,0.0
RNAseq_15675,0.179195902,0.0,0.015972889,0.0,0.220159581,0.120778408,0.12596065,0.250792554,0.087140016,0.0,0.0
RNAseq_40013,0.15191446,0.0,0.0,0.0,0.368610595,0.05144703,0.261133751,0.114599801,0.052294362,0.0,2.22e-16
RNAseq_10551,0.026203226,0.0,0.031616464,0.0,0.775022842,0.070473858,0.0,0.060986521,0.0,0.035697088,1.11e-16
RNAseq_12343,0.145508512,0.0,0.017184711,0.0,0.350933898,0.065107162,0.126624094,0.196241007,0.068123625,0.03027699,0.0
RNAseq_87594,0.115604824,0.0,0.024336051,0.0,0.515959216,0.042103123,0.072542962,0.128158474,0.031491492,0.069803858,0.0
RNAseq_44142,0.053899889,0.0,0.00641204,0.0,0.715729213,0.074934113,0.0,0.089429084,0.028659315,0.030936346,1.11e-16
RNAseq_17157,0.0,0.0,0.0,0.0,0.993885394,0.006114606,0.0,0.0,0.0,0.0,2.22e-16
RNAseq_20508,0.183912028,0.0,0.027419287,0.0,0.079318724,0.145246835,0.177632133,0.29262186,0.093849133,0.0,2.22e-16
RNAseq_20092,0.043580828,0.0,0.053412987,0.0,0.850576527,0.041654781,0.0,0.010774878,0.0,0.0,0.0
