Sample,Male
RNAseq_29158,0.999315347
RNAseq_62948,0.599829996222138
RNAseq_78346,0.307376275028334
RNAseq_96788,0.999999946
RNAseq_32654,0.999999984
RNAseq_93053,0.707310162448054
RNAseq_14116,0.678787306384586
RNAseq_09916,0.000334
RNAseq_45120,0.760479599
RNAseq_25973,0.999999998
RNAseq_03151,0.698432187381942
RNAseq_15675,0.387891953154515
RNAseq_40013,0.36550812240272
RNAseq_10551,0.999999943
RNAseq_12343,0.709387986399698
RNAseq_87594,0.62419720438232
RNAseq_44142,0.39398375519456
RNAseq_17157,0.99999934
RNAseq_20508,0.363052512278051
RNAseq_20092,0.999999985
RNAseq_07923,0.692104268983755
RNAseq_09241,1.0
RNAseq_45829,0.999999756
RNAseq_56856,0.751605591235361
RNAseq_60172,0.750472232716283
RNAseq_25081,0.345910464676993
RNAseq_83643,0.999990293
RNAseq_16968,0.625330562901398
RNAseq_27677,0.911120959
RNAseq_96960,0.367019267094824
RNAseq_30448,0.594918775972799
RNAseq_99856,0.682281828485077
RNAseq_79772,0.999999149
RNAseq_33307,0.999993246
RNAseq_39061,0.320126558367964
RNAseq_26759,0.999998776
RNAseq_89886,0.99837086
RNAseq_09485,0.999999792
RNAseq_34597,0.800528900642236
RNAseq_86541,0.996330368
RNAseq_89107,0.592557612391386
RNAseq_60091,0.999999905
RNAseq_99437,0.999994995
RNAseq_12545,0.416603702304496
RNAseq_25354,0.465904797884397
RNAseq_93861,0.393369852663393
RNAseq_63654,0.699943332074046
RNAseq_48314,0.999776555
RNAseq_74677,0.999999605
RNAseq_73229,0.998325046
RNAseq_83388,0.999993176
RNAseq_98360,0.999994369
RNAseq_99899,0.000147
RNAseq_20390,0.999814349
RNAseq_36996,1.16e-05
RNAseq_58489,0.363052512278051
RNAseq_06513,0.549584435209671
RNAseq_55701,0.999998466
RNAseq_29573,0.5797128825085
RNAseq_45656,0.999948438
RNAseq_29077,0.708821307140159
RNAseq_28876,0.943906865
RNAseq_29759,0.000889
RNAseq_17889,0.8318851530034
RNAseq_92626,0.662542500944465
RNAseq_29715,0.003017405
RNAseq_79676,3.6e-07
RNAseq_64955,0.63014733660748
RNAseq_64635,0.8362296939932
RNAseq_37399,0.660842463165848
RNAseq_91924,0.997297715
RNAseq_68599,0.432848507744617
RNAseq_75044,0.59435209671326
RNAseq_23521,0.996542886
RNAseq_22429,0.000269
RNAseq_69614,0.697959954665659
RNAseq_88256,0.798639969777106
RNAseq_76698,0.999999989
RNAseq_16233,0.999886516
RNAseq_37473,0.69304873441632
RNAseq_31313,0.997625925
RNAseq_86221,0.999977562
RNAseq_67221,0.999961899
RNAseq_54576,0.999989901
RNAseq_12225,0.804873441632036
RNAseq_43562,0.99999999
RNAseq_58258,0.999999453
RNAseq_55276,0.353891197582168
RNAseq_00571,0.999861401
RNAseq_02693,0.725255005666793
RNAseq_86906,0.230544012089158
RNAseq_52286,0.271911598035512
RNAseq_66736,1.0
RNAseq_85773,0.708349074423876
RNAseq_68733,0.199612769172648
RNAseq_51061,0.999997809
RNAseq_50373,0.000463
RNAseq_67312,0.454665659236872
RNAseq_98195,0.624952776728372
RNAseq_77155,0.757650170003778
RNAseq_16294,1.16e-06
RNAseq_69105,0.721949376652815
RNAseq_73645,0.758783528522856
RNAseq_69579,0.999991963
RNAseq_39508,1.0
RNAseq_44077,0.001010363
RNAseq_02199,0.739044200982244
RNAseq_81930,0.645825462788062
RNAseq_04270,1.04e-05
RNAseq_18431,0.758027956176804
RNAseq_28898,0.999999255
RNAseq_75874,0.999988114
RNAseq_04441,0.368719304873442
RNAseq_95893,0.381847374386097
RNAseq_90261,0.412731394030978
RNAseq_47200,0.999999963
RNAseq_75466,0.8318851530034
RNAseq_25431,0.37174159425765
RNAseq_85648,0.235266339251983
RNAseq_74115,5.12e-05
RNAseq_87874,0.367113713638081
RNAseq_28590,0.317340385341896
RNAseq_47538,0.999985871
RNAseq_55418,0.79637325273895
RNAseq_07638,0.004169621
RNAseq_88345,0.985487341
RNAseq_60783,0.999999716
RNAseq_33403,0.390678126180582
RNAseq_29403,0.565640347563279
RNAseq_11833,1.0
RNAseq_75215,0.77332829618436
RNAseq_98687,0.686909709104647
RNAseq_98746,0.276775595013223
RNAseq_74980,0.164620324896109
RNAseq_77483,0.72695504344541
RNAseq_76718,0.999999777
RNAseq_33697,0.457979464
RNAseq_44815,0.676615035889686
RNAseq_70561,0.285700793350963
RNAseq_68492,1.61e-06
RNAseq_29486,0.865697015489233
RNAseq_10283,0.999054925
RNAseq_74426,0.585285228560635
RNAseq_99050,0.26709482432943
RNAseq_98503,0.000115
RNAseq_72709,4.76e-08
RNAseq_69148,0.258075179448432
RNAseq_15249,0.318662636947488
RNAseq_07354,0.254533434076313
RNAseq_41363,0.789289761994711
RNAseq_67896,0.752455610124669
RNAseq_06683,0.999999648
RNAseq_75621,0.366027578390631
RNAseq_06051,0.763694748772195
RNAseq_50744,0.933328331
RNAseq_27582,0.266622591613147
RNAseq_72543,0.196496033245183
RNAseq_43811,0.357480166225916
RNAseq_18085,0.386003022289384
RNAseq_12358,0.834718549301096
RNAseq_83026,0.211040800906687
RNAseq_41861,0.751416698148848
RNAseq_95450,0.999998454
RNAseq_94879,0.999999629
RNAseq_34882,0.999999893
RNAseq_70348,0.738760861352475
RNAseq_96039,0.758877975066113
RNAseq_62005,0.001458498
RNAseq_28956,0.163392519833774
RNAseq_64892,0.217274272761617
RNAseq_21974,0.671137136380808
RNAseq_33011,0.260436343029845
RNAseq_90820,0.604835663014734
RNAseq_44829,0.999966276
RNAseq_78279,0.361069134869664
RNAseq_96773,0.224216093690971
RNAseq_89002,0.905168424
RNAseq_73457,0.31290139780884
RNAseq_15644,0.999992613
RNAseq_97441,0.575746127691727
RNAseq_60980,0.994750834
RNAseq_13323,0.99999999
RNAseq_67064,0.999999999
RNAseq_59843,0.035782321
RNAseq_92954,0.690498677748394
RNAseq_76132,0.563940309784662
RNAseq_87411,0.999998599
RNAseq_55669,0.999960035
RNAseq_57285,0.000129
RNAseq_52395,0.000167
RNAseq_27491,0.256989044200982
RNAseq_68219,0.984850711
RNAseq_08425,0.569229316207027
RNAseq_53757,0.999320336
RNAseq_51186,0.327021156025689
RNAseq_56964,0.999999992
RNAseq_04415,0.763694748772195
RNAseq_11008,0.842085379675104
RNAseq_02996,0.999861744
RNAseq_40616,0.000287
RNAseq_01707,0.999999128
RNAseq_50426,0.795334340763128
RNAseq_25945,0.698148847752172
RNAseq_96131,0.999999778
RNAseq_10762,0.999999993
RNAseq_73340,0.999999599
RNAseq_37350,0.006569314
RNAseq_43969,0.698054401208916
RNAseq_55341,0.999986172
RNAseq_46093,0.999999914
RNAseq_57635,8.96e-05
RNAseq_71257,0.312334718549301
RNAseq_96267,0.974488709
RNAseq_38831,0.99999999
RNAseq_06539,0.999985341
RNAseq_86511,0.695032111824707
RNAseq_75039,3.57e-08
RNAseq_65305,0.999984945
RNAseq_45453,0.631375141669815
RNAseq_43919,0.323196071023801
RNAseq_62022,3.54e-07
RNAseq_26175,0.999998205
RNAseq_77991,0.999717248
RNAseq_52649,0.107294465
RNAseq_58414,0.583868530411787
RNAseq_29638,0.999875896
RNAseq_37982,0.433320740460899
RNAseq_23576,0.998121955
RNAseq_62856,0.999999996
RNAseq_86283,0.539761994710994
RNAseq_82215,0.755855685681904
RNAseq_84816,1.58e-05
RNAseq_75010,0.33594635436343
RNAseq_11039,0.722516055912354
RNAseq_52602,0.730827351718927
RNAseq_42963,0.307376275028334
RNAseq_29729,0.999942645
RNAseq_80018,0.672648281072913
RNAseq_97141,0.999797571
RNAseq_40779,0.613241405364564
RNAseq_01948,0.761900264450321
RNAseq_61447,0.999999954
RNAseq_01625,0.282395164336985
RNAseq_89439,0.999994126
